Trailer Number,Trailer Status,Load Status,Customer,Location Status,TrailerLocaion,Notes,Tags,Date Modified
3854, NEED EMPTY, ¼ FULL, GUY & O NEILL, ON SITE, HILL, CORES/MIXED, , 2019-02-14
814-FLAT, NEED EMPTY, ½ FULL, HERITAGE , ON SITE, ROW, RIP/SORT, , 2019-02-07
932, NEED EMPTY, ½ FULL, MATHESON TRI-GAS, ON SITE, HILL, , , 2019-02-14
USA11, NEED EMPTY, FULL, BREAKTHRU BEVERAGE, ON SITE, HILL, CORES/MIXED, , 2019-02-14
812-FLAT, LOADING, , SHARP, ON SITE, PR, , , 2019-02-14
532, LOADING, , DIELECTRIC, ON SITE, PR, , , 2019-02-14
507, LOADING, , STEELCRAFT, ON SITE, PR, , , 2019-02-14
526, LOADING, , DIELECTRIC / AMERICAN PAPER, ON SITE, PR, , , 2019-02-13
3966-FLAT, EMPTY, , , ON SITE, PR, , , 2019-02-07
522, EMPTY, , , ON SITE, ROW, , , 2019-02-13
523, EMPTY, , , ON SITE, ROW, , , 2019-02-12
192037, EMPTY, , , ON SITE, , , , 2019-02-07
219-FLAT, EMPTY, , , ON SITE, ROW, , , 2019-02-08
5306, EMPTY, , , ON SITE, HF, , , 2019-02-13
3852, EMPTY, , , ON SITE, HF, , , 2019-02-14
793-FLAT, EMPTY, , , ON SITE, ROW, , , 2019-01-25
TEST, EMPTY, , , ON SITE, PR, , , 2019-02-14
USA17, EMPTY, , , ON SITE, ROW, , , 2019-02-13
USA3, NEED WORK, FULL, , ON SITE, ROW, No Breaks - Parking Break / Full of Grade A Select, , 2019-02-02
USA9, NEED WORK, EMPTY, , ON SITE, ROW, DOOR DAMAGE - PASS SIDE, , 2019-02-02
810-FLAT, NEED WORK, , , ON SITE, MAINTENANCE, AIR SUSPENSION NEEDS WORK, , 2019-02-07
546, NEED WORK, EMPTY, , ON SITE, ROW, Roof Damage - Fully Replace, , 2019-02-02
543, NEED WORK, ¼ FULL, , ON SITE, ROW, Marker lights and  plate light are out.  Missing cord lock. is full of As select., , 2019-02-04
3656, IN TRANSIT, , BRIGGS - HACT SIDES & ENDS, OFF SITE, , , , 2019-02-13
